tefreqs:, k index, k1, k2, k3, kmag/2pi, te band 1, te band 2, te band 3, te band 4, te band 5, te band 6, te band 7, te band 8, te band 9, te band 10, te band 11, te band 12, te band 13, te band 14, te band 15, te band 16, te band 17, te band 18, te band 19, te band 20, te band 21, te band 22, te band 23, te band 24, te band 25, te band 26, te band 27, te band 28, te band 29, te band 30
tefreqs:, 7, 0.33, 0, 0, 0.33, 0.105585, 0.110636, 0.111692, 0.114531, 0.115153, 0.120524, 0.120906, 0.12857, 0.128712, 0.13801, 0.138249, 0.14866, 0.148846, 0.160103, 0.160141, 0.171682, 0.171871, 0.182888, 0.183147, 0.192157, 0.192434, 0.196288, 0.207507, 0.218276, 0.235883, 0.236817, 0.237367, 0.237863, 0.238526, 0.239718
tefreqs:, 8, 0.335, 0, 0, 0.335, 0.107073, 0.112258, 0.113304, 0.116084, 0.116694, 0.121963, 0.122354, 0.129885, 0.130042, 0.139189, 0.139452, 0.149713, 0.149895, 0.161009, 0.161037, 0.172411, 0.1726, 0.183401, 0.183648, 0.192353, 0.19265, 0.196282, 0.206402, 0.217846, 0.235334, 0.23604, 0.2367, 0.236849, 0.237982, 0.238846
tefreqs:, 9, 0.34, 0, 0, 0.34, 0.108559, 0.113878, 0.114914, 0.117637, 0.118235, 0.123403, 0.123804, 0.131201, 0.131372, 0.140368, 0.140656, 0.150764, 0.150943, 0.161909, 0.161927, 0.173124, 0.173313, 0.183881, 0.184112, 0.192472, 0.192807, 0.196189, 0.205358, 0.217331, 0.234801, 0.235233, 0.235853, 0.23591, 0.237644, 0.237914
tefreqs:, 10, 0.345, 0, 0, 0.345, 0.110042, 0.115497, 0.116522, 0.11919, 0.119775, 0.124843, 0.125253, 0.132518, 0.132703, 0.141549, 0.14186, 0.151813, 0.151989, 0.1628, 0.162808, 0.173817, 0.174006, 0.184324, 0.18453, 0.192501, 0.192901, 0.196005, 0.204389, 0.21674, 0.234284, 0.234385, 0.234959, 0.23507, 0.236925, 0.237359
tefreqs:, 11, 0.35, 0, 0, 0.35, 0.111522, 0.117114, 0.118129, 0.120743, 0.121313, 0.126284, 0.126704, 0.133836, 0.134035, 0.14273, 0.143062, 0.152858, 0.153031, 0.16368, 0.163681, 0.174488, 0.174676, 0.184724, 0.184897, 0.192427, 0.192927, 0.195728, 0.203504, 0.216083, 0.23351, 0.233748, 0.234116, 0.234323, 0.235921, 0.236968
tefreqs:, 12, 0.355, 0, 0, 0.355, 0.112999, 0.118729, 0.119733, 0.122294, 0.12285, 0.127724, 0.128154, 0.135155, 0.135367, 0.143911, 0.144263, 0.153898, 0.15407, 0.16454, 0.164551, 0.175134, 0.17532, 0.185077, 0.185203, 0.192238, 0.19288, 0.19536, 0.202712, 0.215369, 0.23264, 0.233032, 0.233514, 0.233628, 0.234947, 0.236335
tefreqs:, 13, 0.36, 0, 0, 0.36, 0.114474, 0.120342, 0.121335, 0.123845, 0.124386, 0.129165, 0.129604, 0.136473, 0.136698, 0.14509, 0.145461, 0.154932, 0.155103, 0.165387, 0.165407, 0.175751, 0.175934, 0.185378, 0.185439, 0.191924, 0.192758, 0.194914, 0.202014, 0.214612, 0.231801, 0.232207, 0.232931, 0.233098, 0.234061, 0.235511
tefreqs:, 14, 0.365, 0, 0, 0.365, 0.115947, 0.121953, 0.122935, 0.125395, 0.12592, 0.130605, 0.131053, 0.13779, 0.138029, 0.146268, 0.146656, 0.155959, 0.156129, 0.166217, 0.166246, 0.176336, 0.176513, 0.185594, 0.185621, 0.191482, 0.192557, 0.194404, 0.201402, 0.213822, 0.231006, 0.231396, 0.23217, 0.232749, 0.233326, 0.234624
tefreqs:, 15, 0.37, 0, 0, 0.37, 0.117416, 0.123562, 0.124533, 0.126943, 0.127452, 0.132044, 0.132502, 0.139107, 0.139357, 0.147443, 0.147846, 0.156977, 0.157147, 0.16703, 0.167067, 0.176883, 0.177052, 0.185651, 0.185802, 0.190924, 0.192276, 0.193841, 0.200864, 0.213009, 0.230264, 0.230622, 0.231332, 0.23243, 0.232758, 0.233761
tefreqs:, 16, 0.375, 0, 0, 0.375, 0.118883, 0.125168, 0.126128, 0.12849, 0.128982, 0.133482, 0.133948, 0.140422, 0.140684, 0.148614, 0.149032, 0.157985, 0.158155, 0.167821, 0.167866, 0.177389, 0.177544, 0.185594, 0.185915, 0.190276, 0.191913, 0.193232, 0.200383, 0.212183, 0.229582, 0.229891, 0.230461, 0.232056, 0.232306, 0.233029
