r0,r1,r2,r3,s1,s2,s3,p1,p2,p3,bandwidth,ng0,GBP,avgLoss,loss_at_ng0,delay
0.2,0.2,0.310876,0.2,-0.13246,-0.095436,-0.078033,0.124599,0.211272,-0.042682,0.0196,25.0844,0.4843,98.9417,119.1384,56.1936
0.2,0.250731,0.286036,0.2,-0.136598,-0.206823,-0.040287,0.172176,-0.175329,0.001427,1e-08,11698.3728,0.0584,148159814.808,144122161.497,0.027
0.2,0.260604,0.355695,0.2,-0.134903,-0.092188,0.080771,-0.141671,-0.183314,-0.050542,0.0187,27.203,0.4905,221.5385,225.3815,32.8377
0.2,0.2,0.244564,0.227293,0.198186,0.161428,0.032375,0.226132,0.305666,-0.002079,0.0379,11.2352,0.4145,131.2605,292.9543,7.0947
0.2279,0.237683,0.4,0.2,0.063663,-0.077118,-0.091657,0.124599,0.223957,0.05068,0.0001,1587.8697,0.0785,1010259.4405,1290743.1026,0.4088
0.2,0.250731,0.286036,0.245116,-0.136598,-0.1803,-0.040287,0.172176,-0.243149,0.000558,0.0088,-42.0779,0.3649,707.3989,1007.3282,12.2694
0.2,0.227629,0.338433,0.272386,-0.131717,-0.141022,-0.07051,0.124599,-0.158791,-0.050961,0.0022,-118.6841,0.2498,5128.3422,3276.2617,11.5664
0.2,0.227629,0.294188,0.272386,-0.13535,-0.16495,-0.07051,0.124599,-0.210475,-0.050961,0.0005,-391.1481,0.1858,35975.1163,28216.6936,4.5617
0.266314,0.208826,0.335955,0.204147,0.063663,-0.095436,-0.092404,-0.165299,0.223957,-0.042682,0.0012,-189.6276,0.2199,16289.3172,14390.4848,4.2766
0.2,0.203047,0.276094,0.213233,-0.108935,-0.109988,-0.020123,-0.152738,-0.209395,7.5e-05,0.0267,17.6264,0.4635,40.1207,58.2593,72.2425
0.236084,0.2,0.310876,0.2,0.058,-0.095436,-0.078033,-0.153843,0.211272,-0.042682,0.0012,168.1535,0.197,11952.5518,18445.2132,2.9484
0.2,0.2,0.264382,0.231593,-0.12171,-0.153377,-0.070369,-0.162253,-0.210475,-0.042662,0.0352,14.1727,0.4844,22.3473,22.1921,137.7775
0.346461,0.279654,0.294829,0.222962,-0.009645,-0.017899,-0.002538,-0.023455,0.039521,0.009896,1e-08,1e-08,1e-08,100000,100000,1e-08
0.317885,0.20262,0.312217,0.30477,0.008081,-0.04365,-0.052669,-0.023904,-0.095476,-0.016948,0.0015,17.8476,0.0246,42.6928,50.0322,59.8976
0.240459,0.218251,0.4,0.282262,0.004772,0.007627,-0.060122,-0.007574,0.008847,0.00419,0.003,48.7106,0.1446,693.8378,491.7319,29.6304
0.4,0.292047,0.258749,0.273013,-0.004598,-0.000916,0.023243,0.004971,0.029434,-0.003059,1e-08,1e-08,1e-08,100000,100000,1e-08
0.274277,0.329162,0.359538,0.4,-0.007219,0.004476,0.008642,-0.016922,0.020371,0.017818,0.0055,33.9833,0.1834,926.7255,1273.2181,7.5879
0.4,0.279475,0.4,0.200643,-0.000247,0.002185,-0.083218,-0.013914,0.049819,0.003271,0.004,10.3731,0.0414,13.4335,13.3364,134.2971
0.228604,0.239019,0.379043,0.26723,-0.01975,0.007173,-0.09581,-0.00163,-0.067668,-0.011666,0.0008,-117.788,0.0986,1803.6438,1640.9706,22.9108
0.364042,0.301705,0.4,0.277277,-0.005112,0.073582,-0.014398,0.009663,0.001749,-0.015809,0.0001,614.2234,0.0677,503525.7918,446085.2647,0.4552
0.342867,0.366045,0.26742,0.253066,0.06187,0.005782,0.035205,0.020104,-0.028394,0.007832,0.0027,16.0881,0.0435,224.8535,217.4714,16.9954
0.201344,0.354077,0.315874,0.266426,-0.003341,0.021594,0.015264,0.05177,-0.020713,0.018505,1e-08,1e-08,1e-08,100000,100000,1e-08
0.242723,0.229423,0.258625,0.33139,0.04506,-0.00496,0.011148,0.0161,-0.111354,-0.005846,0.0168,22.1453,0.366,149.9438,358.6882,15.9333
0.218107,0.233981,0.248877,0.210157,0.001459,0.019424,-0.032014,0.110009,-0.028279,-0.035876,0.0001,-616.4985,0.051,383512.0789,363463.9659,0.5608
0.250655,0.347438,0.260946,0.340355,-0.003101,-0.001617,0.172201,-0.006257,-0.021276,0.016394,0.009,22.9807,0.2055,464.8529,462.9357,12.9469
0.4,0.4,0.250791,0.214657,0.010038,-0.023512,-0.062137,-0.024975,0.031921,0.096071,0.0001,-192.4132,0.0225,144732.7301,161591.3524,0.3866
0.4,0.331021,0.25256,0.256696,-0.000452,0.002419,0.002324,-0.100216,-0.026072,-0.092473,1e-08,1e-08,1e-08,100000,100000,1e-08
0.4,0.271692,0.259074,0.27711,-0.007237,0.028799,0.000106,0.030962,-0.014626,-0.006414,1e-08,1e-08,1e-08,100000,100000,1e-08
0.219308,0.215502,0.346673,0.282065,0.01936,0.025374,0.002977,0.010171,-0.00068,-0.007791,0.0006,161.6287,0.0962,11504.0153,8902.9766,5.8643
0.4,0.274535,0.4,0.243702,-0.001742,0.018481,0.003682,-0.008356,-0.015963,0.008667,0.006,10.5239,0.0622,11.0679,10.1731,180.9949
0.290425,0.233251,0.363066,0.278744,0.066261,0.02312,-0.049535,0.009318,0.024022,-7.1e-05,0.0007,-186.7898,0.1189,11062.1882,7313.041,8.2861
0.21462,0.201008,0.338758,0.222318,-0.007554,0.009681,-0.043341,0.014463,0.000603,-0.012652,0.0015,-116.6238,0.1744,2555.4066,1192.4497,31.2029
0.228604,0.239019,0.379043,0.26723,-0.01975,-0.095436,-0.09581,0.124599,-0.067668,-0.011666,0.0007,139.2134,0.097,12731.6874,16374.7619,2.7321
0.2,0.203047,0.276094,0.213233,-0.134903,-0.085618,0.059225,-0.152738,0.145875,7.5e-05,0.0012,143.6327,0.176,4381.8803,5416.6157,8.5313
0.2,0.2,0.294703,0.2,-0.069483,-0.095436,-0.092404,-0.142121,0.223957,-0.04975,0.0029,-62.8717,0.1765,1386.257,1270.478,15.1837
0.216701,0.2,0.275965,0.231593,-0.122241,0.146013,-0.07378,-0.162253,-0.195569,-0.049623,0.0021,93.5604,0.1971,423.4572,262.5947,112.4171
0.2,0.203036,0.383745,0.2,-0.13246,-0.095436,-0.046694,-0.141671,0.211272,0.004437,0.0064,-15.6208,0.0994,102.3946,112.9506,31.3436
0.371273,0.207025,0.312217,0.276494,0.008081,-0.033528,-0.062634,-0.025664,-0.077978,-0.018992,0.0022,10.7469,0.0221,4.8007,4.4326,73.909
0.4,0.292047,0.276148,0.273013,-0.004598,8.8e-05,0.023243,0.00719,0.03226,0.002106,1e-08,1e-08,1e-08,100000,100000,1e-08
0.4,0.27425,0.25256,0.256696,0.000647,0.003878,0.002324,-0.100216,-0.026072,-0.083151,1e-08,1e-08,1e-08,100000,100000,1e-08
0.223115,0.258993,0.4,0.2,-0.07594,0.093083,-0.040287,-0.142213,0.00519,0.004437,0.0035,-20.3617,0.0704,241.2404,284.0776,18.0252
0.346461,0.279654,0.294829,0.222962,-0.009645,-0.09365,-0.002538,-0.152738,-0.19244,0.001644,1e-08,1e-08,1e-08,100000,100000,1e-08
0.2,0.2,0.310876,0.200134,-0.13246,-0.107333,-0.078033,0.14475,0.237504,0.000777,0.0219,24.3964,0.5121,95.2248,135.8594,47.5894
0.249572,0.247337,0.299448,0.25326,-0.00799,-0.016263,-0.001837,-0.02084,0.039521,0.009896,0.0008,61.9506,0.0489,819.5223,779.5797,24.351
0.250655,0.231531,0.383745,0.340355,-0.07594,-0.001617,-0.040287,-0.006257,0.00519,0.016394,0.0106,15.9686,0.1706,77.8614,66.861,54.6837
0.2,0.250731,0.286036,0.300874,-0.122737,-0.139221,-0.031456,0.172176,-0.243149,0.001646,0.0089,-21.6459,0.1945,182.5756,192.0326,28.8943
0.2,0.227629,0.338433,0.227293,-0.131717,-0.141022,-0.07051,0.124599,0.305666,-0.002079,0.0077,20.5361,0.1506,331.7159,435.8506,11.8818
0.244759,0.2,0.2,0.2,-0.124667,-0.168782,-0.018602,0.137386,0.171362,0.001644,0.0049,10.8696,0.0531,18.5218,17.9646,108.9103
0.2,0.2,0.203594,0.213233,-0.108935,-0.023512,-0.020123,-0.024975,-0.209395,0.096071,0.0217,12.3558,0.2624,53.0207,83.2998,29.4352
0.2,0.266403,0.2,0.265909,0.117283,-0.09365,-0.021091,-0.1662,-0.231092,0.001938,1e-08,1e-08,1e-08,100000,100000,1e-08
0.236084,0.205977,0.266635,0.215604,0.047607,-0.110277,-0.078033,-0.153843,0.183081,-0.042682,0.0155,23.3195,0.3515,246.0841,474.9885,12.8561
0.277943,0.237683,0.4,0.2,0.063663,-0.090462,0.101169,0.126351,0.269618,0.059755,0.0118,15.9046,0.1877,244.0381,250.2882,14.5228
0.235128,0.242938,0.243294,0.278004,0.067113,-0.05525,0.084515,-0.100416,0.126122,-0.027806,0.0181,13.729,0.2429,126.4184,79.6738,36.5199
0.2,0.354077,0.263561,0.266426,0.002536,0.021594,0.016969,0.043413,-0.023719,0.018505,1e-08,1e-08,1e-08,100000,100000,1e-08
