tefreqs:, k index, k1, k2, k3, kmag/2pi, te band 1, te band 2, te band 3, te band 4, te band 5, te band 6, te band 7, te band 8, te band 9, te band 10, te band 11, te band 12, te band 13, te band 14, te band 15, te band 16, te band 17, te band 18, te band 19, te band 20, te band 21, te band 22, te band 23, te band 24, te band 25, te band 26, te band 27, te band 28, te band 29, te band 30
tefreqs:, 16, 0.375, 0, 0, 0.375, 0.119358, 0.128796, 0.13337, 0.134912, 0.135528, 0.139642, 0.140313, 0.146577, 0.146777, 0.154765, 0.154851, 0.163785, 0.164013, 0.173162, 0.173622, 0.182199, 0.182853, 0.189038, 0.190459, 0.194029, 0.197146, 0.199046, 0.203986, 0.215385, 0.227692, 0.234157, 0.238012, 0.243614, 0.257288, 0.257663
tefreqs:, 17, 0.38, 0, 0, 0.38, 0.12083, 0.13032, 0.134992, 0.136485, 0.137146, 0.141124, 0.141799, 0.147913, 0.148111, 0.155926, 0.156007, 0.164738, 0.164959, 0.17385, 0.174309, 0.182551, 0.183134, 0.188511, 0.190446, 0.193704, 0.196793, 0.198574, 0.203507, 0.214559, 0.227115, 0.233652, 0.237679, 0.242828, 0.256644, 0.257415
tefreqs:, 18, 0.385, 0, 0, 0.385, 0.1223, 0.131839, 0.136602, 0.138059, 0.13876, 0.142604, 0.143279, 0.149244, 0.149438, 0.157077, 0.157154, 0.165671, 0.165887, 0.174505, 0.174963, 0.182848, 0.183311, 0.187899, 0.190369, 0.193382, 0.196377, 0.198047, 0.203046, 0.213761, 0.226602, 0.233013, 0.237493, 0.24205, 0.256035, 0.257107
tefreqs:, 19, 0.39, 0, 0, 0.39, 0.123766, 0.133354, 0.138197, 0.139634, 0.140369, 0.14408, 0.144755, 0.150569, 0.150757, 0.158216, 0.158289, 0.166584, 0.166795, 0.17512, 0.175579, 0.183085, 0.183344, 0.187265, 0.190226, 0.193051, 0.1959, 0.197463, 0.202595, 0.212997, 0.22615, 0.23229, 0.237401, 0.241282, 0.255463, 0.256721
tefreqs:, 20, 0.395, 0, 0, 0.395, 0.125229, 0.134864, 0.139778, 0.14121, 0.141973, 0.145554, 0.146224, 0.151887, 0.152068, 0.159341, 0.159412, 0.167472, 0.167681, 0.175693, 0.176151, 0.183173, 0.183258, 0.186691, 0.190019, 0.192695, 0.195363, 0.196822, 0.20215, 0.21227, 0.22576, 0.231526, 0.237358, 0.240531, 0.254931, 0.256277
tefreqs:, 21, 0.4, 0, 0, 0.4, 0.126688, 0.13637, 0.141343, 0.142787, 0.143571, 0.147023, 0.147686, 0.153197, 0.15337, 0.160451, 0.160521, 0.168333, 0.168541, 0.176217, 0.176673, 0.182749, 0.183363, 0.186247, 0.189749, 0.192301, 0.194767, 0.196123, 0.20171, 0.211583, 0.225428, 0.23075, 0.237336, 0.2398, 0.254443, 0.255815
tefreqs:, 22, 0.405, 0, 0, 0.405, 0.128143, 0.137871, 0.142892, 0.144365, 0.145163, 0.148488, 0.149141, 0.154498, 0.154661, 0.161544, 0.161614, 0.169165, 0.169373, 0.176688, 0.177131, 0.182084, 0.183397, 0.185942, 0.189419, 0.191858, 0.194117, 0.195369, 0.201273, 0.210939, 0.225153, 0.229978, 0.237316, 0.239091, 0.254003, 0.255369
tefreqs:, 23, 0.41, 0, 0, 0.41, 0.129593, 0.139367, 0.144425, 0.145944, 0.146749, 0.149947, 0.150588, 0.15579, 0.15594, 0.162618, 0.162689, 0.169963, 0.170173, 0.177098, 0.177503, 0.181263, 0.183358, 0.18572, 0.189032, 0.191362, 0.193413, 0.194561, 0.200842, 0.210337, 0.224929, 0.229222, 0.237287, 0.238408, 0.253614, 0.254953
tefreqs:, 24, 0.415, 0, 0, 0.415, 0.131039, 0.140858, 0.145942, 0.147522, 0.148328, 0.151401, 0.152025, 0.15707, 0.157207, 0.163672, 0.163744, 0.170723, 0.170939, 0.177441, 0.177728, 0.180407, 0.183246, 0.185523, 0.188593, 0.190808, 0.192658, 0.193701, 0.200418, 0.209779, 0.224754, 0.228489, 0.237244, 0.237753, 0.253276, 0.254566
tefreqs:, 25, 0.42, 0, 0, 0.42, 0.132478, 0.142343, 0.147442, 0.149098, 0.149899, 0.152848, 0.153453, 0.158337, 0.158459, 0.164702, 0.164777, 0.171441, 0.171664, 0.177644, 0.177706, 0.179724, 0.183066, 0.185311, 0.188108, 0.190197, 0.191855, 0.192791, 0.200003, 0.209264, 0.224621, 0.227786, 0.237129, 0.237184, 0.252989, 0.254192
tefreqs:, 26, 0.425, 0, 0, 0.425, 0.133912, 0.143822, 0.148925, 0.150673, 0.151462, 0.154288, 0.154869, 0.159591, 0.159695, 0.165706, 0.165785, 0.172109, 0.172343, 0.177052, 0.177884, 0.179438, 0.182825, 0.18506, 0.187582, 0.189528, 0.191006, 0.191834, 0.199602, 0.208791, 0.224525, 0.227115, 0.236536, 0.237106, 0.252746, 0.253796
tefreqs:, 27, 0.43, 0, 0, 0.43, 0.135338, 0.145294, 0.150391, 0.152244, 0.153016, 0.15572, 0.156273, 0.160829, 0.160914, 0.166681, 0.166765, 0.17272, 0.172964, 0.176102, 0.177965, 0.179419, 0.182538, 0.184759, 0.187018, 0.188805, 0.190112, 0.190833, 0.199217, 0.208358, 0.224462, 0.22648, 0.235978, 0.237011, 0.252537, 0.253356
tefreqs:, 28, 0.435, 0, 0, 0.435, 0.136755, 0.14676, 0.151839, 0.153811, 0.154561, 0.157142, 0.157664, 0.162049, 0.162114, 0.167622, 0.167714, 0.173261, 0.173489, 0.175044, 0.177942, 0.179461, 0.182222, 0.184403, 0.186419, 0.188031, 0.189175, 0.18979, 0.19885, 0.207964, 0.224426, 0.225884, 0.235456, 0.236901, 0.252348, 0.252901
tefreqs:, 29, 0.44, 0, 0, 0.44, 0.138163, 0.148218, 0.153268, 0.155372, 0.156095, 0.158554, 0.159039, 0.163249, 0.163292, 0.168526, 0.168627, 0.173481, 0.173713, 0.174397, 0.177818, 0.179479, 0.181894, 0.183993, 0.185786, 0.18721, 0.188198, 0.188708, 0.198504, 0.207607, 0.224412, 0.225327, 0.234971, 0.236779, 0.252169, 0.252465
tefreqs:, 30, 0.445, 0, 0, 0.445, 0.139558, 0.149669, 0.154677, 0.156927, 0.157619, 0.159955, 0.160398, 0.164426, 0.164446, 0.169385, 0.169498, 0.172453, 0.174046, 0.174679, 0.177619, 0.179448, 0.181568, 0.183533, 0.185119, 0.186346, 0.187182, 0.187589, 0.19818, 0.207285, 0.224416, 0.224813, 0.234524, 0.236649, 0.251996, 0.252067
tefreqs:, 31, 0.45, 0, 0, 0.45, 0.140939, 0.151111, 0.156063, 0.158474, 0.159129, 0.161342, 0.161738, 0.165573, 0.165575, 0.170186, 0.170316, 0.171277, 0.174215, 0.175034, 0.177398, 0.17936, 0.181247, 0.183028, 0.184417, 0.185443, 0.186128, 0.186435, 0.197882, 0.206996, 0.224341, 0.224432, 0.234116, 0.236514, 0.251715, 0.251841
tefreqs:, 32, 0.455, 0, 0, 0.455, 0.142302, 0.152543, 0.157422, 0.160013, 0.160626, 0.162713, 0.163057, 0.166667, 0.166684, 0.170906, 0.170075, 0.171097, 0.174178, 0.175325, 0.177233, 0.179217, 0.180925, 0.182486, 0.183681, 0.184505, 0.18504, 0.185249, 0.197609, 0.20674, 0.223913, 0.224457, 0.233748, 0.236378, 0.251411, 0.251717
tefreqs:, 33, 0.46, 0, 0, 0.46, 0.143642, 0.153965, 0.158744, 0.161542, 0.162107, 0.164062, 0.16435, 0.167692, 0.167723, 0.168982, 0.171482, 0.171783, 0.17397, 0.175532, 0.177169, 0.179034, 0.180593, 0.181915, 0.18291, 0.183536, 0.183919, 0.184032, 0.197363, 0.206514, 0.223529, 0.224488, 0.23342, 0.236246, 0.25115, 0.251637
tefreqs:, 34, 0.465, 0, 0, 0.465, 0.144951, 0.155375, 0.160015, 0.163059, 0.163569, 0.165365, 0.165613, 0.167621, 0.168725, 0.168989, 0.171745, 0.172372, 0.173804, 0.175655, 0.177186, 0.17883, 0.180239, 0.181322, 0.182105, 0.182537, 0.18277, 0.182788, 0.197144, 0.206317, 0.22319, 0.224521, 0.233132, 0.23612, 0.250924, 0.251608
tefreqs:, 35, 0.47, 0, 0, 0.47, 0.146219, 0.156772, 0.161194, 0.164557, 0.165006, 0.166235, 0.166837, 0.167093, 0.169616, 0.169897, 0.171543, 0.172825, 0.173952, 0.175726, 0.177236, 0.178627, 0.179857, 0.180708, 0.181273, 0.181491, 0.181545, 0.181597, 0.196954, 0.206148, 0.222895, 0.224554, 0.232884, 0.236004, 0.25072, 0.251633
tefreqs:, 36, 0.475, 0, 0, 0.475, 0.147429, 0.158155, 0.162156, 0.165589, 0.166136, 0.166407, 0.167998, 0.168132, 0.170055, 0.170742, 0.171362, 0.173117, 0.174333, 0.17581, 0.177276, 0.178432, 0.179438, 0.180054, 0.180233, 0.180371, 0.180461, 0.180498, 0.196793, 0.206007, 0.222646, 0.224585, 0.232676, 0.235901, 0.250531, 0.2517
tefreqs:, 37, 0.48, 0, 0, 0.48, 0.148556, 0.15952, 0.162551, 0.165448, 0.167567, 0.16773, 0.168892, 0.169342, 0.169751, 0.171344, 0.171923, 0.173342, 0.174763, 0.175965, 0.177278, 0.178224, 0.17889, 0.178919, 0.179255, 0.179341, 0.17957, 0.179602, 0.196661, 0.205892, 0.222442, 0.224612, 0.232506, 0.235813, 0.250354, 0.251722
tefreqs:, 38, 0.485, 0, 0, 0.485, 0.14956, 0.160867, 0.162215, 0.166033, 0.16815, 0.169025, 0.169179, 0.170384, 0.17044, 0.171593, 0.172701, 0.173751, 0.175155, 0.17617, 0.177191, 0.177531, 0.177924, 0.177928, 0.178455, 0.178533, 0.178877, 0.178902, 0.196558, 0.205804, 0.222284, 0.224635, 0.232375, 0.235743, 0.250198, 0.251576
tefreqs:, 39, 0.49, 0, 0, 0.49, 0.150378, 0.161648, 0.16219, 0.166953, 0.167155, 0.170197, 0.17035, 0.170672, 0.17149, 0.172207, 0.173463, 0.174351, 0.175434, 0.176107, 0.176375, 0.176571, 0.177187, 0.177196, 0.177913, 0.177945, 0.178382, 0.178397, 0.196484, 0.205741, 0.22217, 0.224652, 0.232281, 0.235693, 0.250077, 0.251425
tefreqs:, 40, 0.495, 0, 0, 0.495, 0.150929, 0.161199, 0.163481, 0.166005, 0.167906, 0.16994, 0.170922, 0.171941, 0.172611, 0.173249, 0.1741, 0.174688, 0.174969, 0.175183, 0.175839, 0.175913, 0.176757, 0.176796, 0.177571, 0.177583, 0.178088, 0.178093, 0.19644, 0.205703, 0.222102, 0.224663, 0.232224, 0.235662, 0.250001, 0.251327
tefreqs:, 41, 0.5, 0, 0, 0.5, 0.151126, 0.161032, 0.164578, 0.164951, 0.168529, 0.169427, 0.171178, 0.173293, 0.173383, 0.173551, 0.174003, 0.174058, 0.174744, 0.174754, 0.175678, 0.17573, 0.17659, 0.17664, 0.177452, 0.177491, 0.177982, 0.177993, 0.196425, 0.205691, 0.222078, 0.224668, 0.232203, 0.235653, 0.249975, 0.251293
